Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Punjab National Bank",2468610,347449,2816059,42880.41,1617171,"(B) Regional Rural Bank","2015-08-12"
"Punjab National Bank",9304331,1892843,11197174,94709.87,9959391,"(A) Public Sector Banks","2015-08-19"
"Punjab National Bank",2488206,348096,2836302,43185.86,1697793,"(B) Regional Rural Bank","2015-08-19"
"Punjab National Bank",9389903,1903657,11293560,96196.22,9959391,"(A) Public Sector Banks","2015-08-26"
"Punjab National Bank",2512214,349169,2861383,43531.52,1832511,"(B) Regional Rural Bank","2015-08-26"
"Punjab National Bank",9457872,1912690,11370562,97176.08,9959407,"(A) Public Sector Banks","2015-09-02"
"Punjab National Bank",2528773,349997,2878770,44355.68,1993376,"(B) Regional Rural Bank","2015-09-02"
"Punjab National Bank",9540157,1922341,11462498,101035.8,9959643,"(A) Public Sector Banks","2015-09-09"
"Punjab National Bank",2549973,350892,2900865,45485.66,2003195,"(B) Regional Rural Bank","2015-09-09"
"Punjab National Bank",9634615,1931794,11566409,102883.42,9960069,"(A) Public Sector Banks","2015-09-16"
"Punjab National Bank",2569977,351909,2921886,46252.11,2008504,"(B) Regional Rural Bank","2015-09-16"
"Punjab National Bank",9705125,1941660,11646785,104838.25,9960542,"(A) Public Sector Banks","2015-09-23"
"Punjab National Bank",2586866,352890,2939756,46706.17,2015418,"(B) Regional Rural Bank","2015-09-23"
"Punjab National Bank",9793602,1956444,11750046,108016.72,9961598,"(A) Public Sector Banks","2015-10-07"
"Punjab National Bank",2616268,353749,2970017,47643.2,2023984,"(B) Regional Rural Bank","2015-10-07"
"Punjab National Bank",9823063,1961761,11784824,110236.24,9961912,"(A) Public Sector Banks","2015-10-14"
"Punjab National Bank",2628939,354154,2983093,48060.3,2025885,"(B) Regional Rural Bank","2015-10-14"
"Punjab National Bank",9851578,1967504,11819082,112044.11,9962298,"(A) Public Sector Banks","2015-10-21"
"Punjab National Bank",2636519,354729,2991248,48374.35,2027362,"(B) Regional Rural Bank","2015-10-21"
"Punjab National Bank",9870233,1969992,11840225,112138.94,9962629,"(A) Public Sector Banks","2015-10-28"
"Punjab National Bank",2639765,354991,2994756,48568.11,2028560,"(B) Regional Rural Bank","2015-10-28"
"Punjab National Bank",9898470,1975098,11873568,113921.86,9962957,"(A) Public Sector Banks","2015-11-04"
"Punjab National Bank",2653728,355408,3009136,49011.83,2030811,"(B) Regional Rural Bank","2015-11-04"
"Punjab National Bank",9898470,1975098,11873568,113921.86,9962957,"(A) Public Sector Banks","2015-11-11"
"Punjab National Bank",2653728,355408,3009136,49011.83,2030811,"(B) Regional Rural Bank","2015-11-11"
"Punjab National Bank",9934736,1979943,11914679,117359.74,9963289,"(A) Public Sector Banks","2015-11-18"
"Punjab National Bank",2666153,356141,3022294,49623.35,2034494,"(B) Regional Rural Bank","2015-11-18"
"Punjab National Bank",9965337,1986613,11951950,117116.79,9963597,"(A) Public Sector Banks","2015-11-25"
"Punjab National Bank",2679598,356642,3036240,49822.02,2036460,"(B) Regional Rural Bank","2015-11-25"
"Punjab National Bank",9984767,1990271,11975038,117607.89,9963846,"(A) Public Sector Banks","2015-12-02"
"Punjab National Bank",2693237,357049,3050286,50340.17,2038708,"(B) Regional Rural Bank","2015-12-02"
"Punjab National Bank",10051144,1998693,12049837,120850.25,9964158,"(A) Public Sector Banks","2015-12-09"
"Punjab National Bank",2711160,357467,3068627,50760.19,2042574,"(B) Regional Rural Bank","2015-12-09"
"Punjab National Bank",10103079,2004944,12108023,123595,9964515,"(A) Public Sector Banks","2015-12-16"
"Punjab National Bank",2733189,357862,3091051,51647.44,2045805,"(B) Regional Rural Bank","2015-12-16"
"Punjab National Bank",10165939,2010910,12176849,127513.25,9964919,"(A) Public Sector Banks","2015-12-23"
