Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of India",2079085,682494,2761579,10935.59,2425080,"(B) Regional Rural Bank","2015-10-28"
"Bank of India",4210974,5340188,9551162,87226.49,8935854,"(A) Public Sector Banks","2015-11-04"
"Bank of India",2088349,685684,2774033,11666.1,2425080,"(B) Regional Rural Bank","2015-11-04"
"Bank of India",4237144,5362587,9599731,89267.56,9006290,"(A) Public Sector Banks","2015-11-11"
"Bank of India",2099339,688571,2787910,11999.81,2654019,"(B) Regional Rural Bank","2015-11-11"
"Bank of India",4259538,5379477,9639015,89861.87,9039504,"(A) Public Sector Banks","2015-11-18"
"Bank of India",2105311,690107,2795418,12476.16,2654019,"(B) Regional Rural Bank","2015-11-18"
"Bank of India",4282825,5401247,9684072,89894,9085452,"(A) Public Sector Banks","2015-11-25"
"Bank of India",2114304,693376,2807680,13087.27,2654019,"(B) Regional Rural Bank","2015-11-25"
"Bank of India",4311607,5427586,9739193,90547.33,9114492,"(A) Public Sector Banks","2015-12-02"
"Bank of India",2121291,695857,2817148,13461.16,2654019,"(B) Regional Rural Bank","2015-12-02"
"Bank of India",4345925,5456197,9802122,92825.99,9147451,"(A) Public Sector Banks","2015-12-09"
"Bank of India",2131680,699511,2831191,14052.44,2654019,"(B) Regional Rural Bank","2015-12-09"
"Bank of India",4377699,5484507,9862206,94593.02,9222897,"(A) Public Sector Banks","2015-12-16"
"Bank of India",2140359,702927,2843286,15007.52,2654019,"(B) Regional Rural Bank","2015-12-16"
"Bank of India",4415261,5514600,9929861,96356.91,9288264,"(A) Public Sector Banks","2015-12-23"
"Bank of India",2146881,706132,2853013,16394.22,2654019,"(B) Regional Rural Bank","2015-12-23"
"Bank of India",4448795,5540734,9989529,97288.3,9328009,"(A) Public Sector Banks","2015-12-30"
"Bank of India",2155676,708960,2864636,17253.35,2654019,"(B) Regional Rural Bank","2015-12-30"
"Bank of India",4471150,5560538,10031688,98931.35,9327494,"(A) Public Sector Banks","2016-01-06"
"Bank of India",2167610,711047,2878657,18015.44,2654019,"(B) Regional Rural Bank","2016-01-06"
"Bank of India",4546200,5624530,10170730,102185.19,9479593,"(A) Public Sector Banks","2016-01-13"
"Bank of India",2180912,715159,2896071,19289.86,2654019,"(B) Regional Rural Bank","2016-01-13"
"Bank of India",4600008,5667479,10267487,104615.05,9551711,"(A) Public Sector Banks","2016-01-20"
"Bank of India",2189763,718294,2908057,19669.05,2654019,"(B) Regional Rural Bank","2016-01-20"
"Bank of India",4636847,5702258,10339105,105676.32,9674021,"(A) Public Sector Banks","2016-01-27"
"Bank of India",2202615,723126,2925741,20217.13,2654019,"(B) Regional Rural Bank","2016-01-27"
"Bank of India",4770912,5829359,10600271,113212.23,9720384,"(A) Public Sector Banks","2016-02-10"
"Bank of India",2231953,731859,2963812,22654.84,2654019,"(B) Regional Rural Bank","2016-02-10"
"Bank of India",4841624,5888162,10729786,119084.77,9713789,"(A) Public Sector Banks","2016-02-17"
"Bank of India",2242242,734911,2977153,23236.46,2654019,"(B) Regional Rural Bank","2016-02-17"
"Bank of India",4893666,5941741,10835407,121856.19,9708758,"(A) Public Sector Banks","2016-02-24"
"Bank of India",2252005,737491,2989496,23782.23,2654019,"(B) Regional Rural Bank","2016-02-24"
"Bank of India",4950058,5986832,10936890,124745.76,9750223,"(A) Public Sector Banks","2016-03-02"
"Bank of India",2263515,741238,3004753,24407.47,2654020,"(B) Regional Rural Bank","2016-03-02"
"Bank of India",5019098,6045876,11064974,129303.63,9947984,"(A) Public Sector Banks","2016-03-09"
"Bank of India",2266718,749742,3016460,25014.96,2654019,"(B) Regional Rural Bank","2016-03-09"
"Bank of India",5079873,6108040,11187913,135609.4,10229343,"(A) Public Sector Banks","2016-03-16"
"Bank of India",2273293,751638,3024931,26253.7,2654019,"(B) Regional Rural Bank","2016-03-16"
"Bank of India",5110198,6139055,11249253,138389.62,10328383,"(A) Public Sector Banks","2016-03-23"
"Bank of India",2280796,753182,3033978,26886.68,2654019,"(B) Regional Rural Bank","2016-03-23"
"Bank of India",5151174,6183894,11335068,142816.39,10450609,"(A) Public Sector Banks","2016-03-30"
"Bank of India",2287720,755034,3042754,28245.21,2654019,"(B) Regional Rural Bank","2016-03-30"
"Bank of India",5167007,6195620,11362627,146695.57,10447910,"(A) Public Sector Banks","2016-04-06"
"Bank of India",2294291,757119,3051410,28618.05,2654019,"(B) Regional Rural Bank","2016-04-06"
"Bank of India",5184772,6212479,11397251,147018.56,10581367,"(A) Public Sector Banks","2016-04-13"
"Bank of India",2299768,759178,3058946,28788.39,2654019,"(B) Regional Rural Bank","2016-04-13"
"Bank of India",5228742,6253677,11482419,149581.76,10580470,"(A) Public Sector Banks","2016-04-20"
"Bank of India",2304120,760419,3064539,28834.6,2654019,"(B) Regional Rural Bank","2016-04-20"
"Bank of India",5261676,6292179,11553855,149972.22,10918006,"(A) Public Sector Banks","2016-04-27"
"Bank of India",2310443,762455,3072898,29100.32,2654019,"(B) Regional Rural Bank","2016-04-27"
"Bank of India",5281119,6315427,11596546,150796.95,11094941,"(A) Public Sector Banks","2016-05-04"
"Bank of India",2318373,764699,3083072,29319.78,2654019,"(B) Regional Rural Bank","2016-05-04"
"Bank of India",5349505,6394220,11743725,158349.58,11202433,"(A) Public Sector Banks","2016-05-11"
"Bank of India",2329707,767347,3097054,29425.37,2654019,"(B) Regional Rural Bank","2016-05-11"
"Bank of India",5383368,6433300,11816668,161923.2,11225560,"(A) Public Sector Banks","2016-05-18"
"Bank of India",2341553,770592,3112145,29517.52,2654019,"(B) Regional Rural Bank","2016-05-18"
"Bank of India",5417838,6475420,11893258,164022.53,11259462,"(A) Public Sector Banks","2016-05-25"
"Bank of India",2352319,774078,3126397,29591.17,2654019,"(B) Regional Rural Bank","2016-05-25"
"Bank of India",5550184,6642580,12192764,169069.56,11777039,"(A) Public Sector Banks","2016-06-01"
"Bank of India",2363295,777241,3140536,29655.91,2654019,"(B) Regional Rural Bank","2016-06-01"
"Bank of India",2221542,3191519,5413061,25359.96,5264507,"(A) Public Sector Banks","2015-01-21"
"Bank of India",1258686,350623,1609309,1738.05,1556178,"(B) Regional Rural Bank","2015-01-21"
"Bank of India",3122203,4283007,7405210,54603.53,7242827,"(A) Public Sector Banks","2015-05-27"
"Bank of India",1720461,580187,2300648,5467.53,2234221,"(B) Regional Rural Bank","2015-05-27"
