Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Bikaner & Jaipur",1492139,33999,1526138,17511.86,867880,"(B) Regional Rural Bank","2015-10-21"
"State Bank of Bikaner & Jaipur",1602139,1610435,3212574,78078.52,2822967,"(A) Public Sector Banks","2015-10-28"
"State Bank of Bikaner & Jaipur",1502734,34273,1537007,17677.86,867944,"(B) Regional Rural Bank","2015-10-28"
"State Bank of Bikaner & Jaipur",1613042,1619325,3232367,79543.15,2839124,"(A) Public Sector Banks","2015-11-04"
"State Bank of Bikaner & Jaipur",1521612,34609,1556221,17938.66,868040,"(B) Regional Rural Bank","2015-11-04"
"State Bank of Bikaner & Jaipur",1620653,1624615,3245268,80234.15,2855103,"(A) Public Sector Banks","2015-11-11"
"State Bank of Bikaner & Jaipur",1560678,35940,1596618,19577.66,868121,"(B) Regional Rural Bank","2015-11-11"
"State Bank of Bikaner & Jaipur",1627302,1629709,3257011,79836.49,2864468,"(A) Public Sector Banks","2015-11-18"
"State Bank of Bikaner & Jaipur",1575402,36277,1611679,19789.27,868235,"(B) Regional Rural Bank","2015-11-18"
"State Bank of Bikaner & Jaipur",1637787,1636083,3273870,79433.52,2879568,"(A) Public Sector Banks","2015-11-25"
"State Bank of Bikaner & Jaipur",1589735,36646,1626381,20006.51,868308,"(B) Regional Rural Bank","2015-11-25"
"State Bank of Bikaner & Jaipur",1648203,1644603,3292806,80998.09,2892384,"(A) Public Sector Banks","2015-12-02"
"State Bank of Bikaner & Jaipur",1605625,37012,1642637,20332.18,868824,"(B) Regional Rural Bank","2015-12-02"
"State Bank of Bikaner & Jaipur",1658216,1651393,3309609,81863.44,2917130,"(A) Public Sector Banks","2015-12-09"
"State Bank of Bikaner & Jaipur",1623880,37328,1661208,20583.57,869064,"(B) Regional Rural Bank","2015-12-09"
"State Bank of Bikaner & Jaipur",1667837,1658721,3326558,82600.47,2934199,"(A) Public Sector Banks","2015-12-16"
"State Bank of Bikaner & Jaipur",1638345,37693,1676038,20832.09,869185,"(B) Regional Rural Bank","2015-12-16"
"State Bank of Bikaner & Jaipur",1675604,1664643,3340247,82813.47,2948195,"(A) Public Sector Banks","2015-12-23"
"State Bank of Bikaner & Jaipur",1652782,37977,1690759,21048.72,869368,"(B) Regional Rural Bank","2015-12-23"
"State Bank of Bikaner & Jaipur",1685655,1672370,3358025,81991.47,2962180,"(A) Public Sector Banks","2015-12-30"
"State Bank of Bikaner & Jaipur",1666942,38284,1705226,21353.39,869592,"(B) Regional Rural Bank","2015-12-30"
