Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"United Bank of India",4252902,71439,4324341,61662.29,2116503,"(B) Regional Rural Bank","2015-10-14"
"United Bank of India",3546420,2378724,5925144,275884.22,3974929,"(A) Public Sector Banks","2015-10-21"
"United Bank of India",4319973,71707,4391680,61964.1,2378614,"(B) Regional Rural Bank","2015-10-21"
"United Bank of India",3586971,2404000,5990971,280182.9,3987048,"(A) Public Sector Banks","2015-10-28"
"United Bank of India",4365279,72048,4437327,64365.97,2378715,"(B) Regional Rural Bank","2015-10-28"
"United Bank of India",3632999,2428587,6061586,286115.8,4009001,"(A) Public Sector Banks","2015-11-04"
"United Bank of India",4427695,72571,4500266,65433.29,2378790,"(B) Regional Rural Bank","2015-11-04"
"United Bank of India",3657796,2443442,6101238,290737.67,4018279,"(A) Public Sector Banks","2015-11-11"
"United Bank of India",4438619,72965,4511584,67543.5,2378790,"(B) Regional Rural Bank","2015-11-11"
"United Bank of India",3691287,2447622,6138909,290053.16,4022081,"(A) Public Sector Banks","2015-11-18"
"United Bank of India",4493304,74728,4568032,67634.31,2379602,"(B) Regional Rural Bank","2015-11-18"
"United Bank of India",3718636,2478089,6196725,290914.05,4027640,"(A) Public Sector Banks","2015-11-25"
"United Bank of India",4509905,73916,4583821,68289.45,2381366,"(B) Regional Rural Bank","2015-11-25"
"United Bank of India",3754327,2484423,6238750,300747.66,4027188,"(A) Public Sector Banks","2015-12-02"
"United Bank of India",4518685,74133,4592818,68289.45,2381366,"(B) Regional Rural Bank","2015-12-02"
"United Bank of India",3795530,2522704,6318234,305568.32,4041290,"(A) Public Sector Banks","2015-12-09"
"United Bank of India",4639177,75153,4714330,68877.96,2381969,"(B) Regional Rural Bank","2015-12-09"
"United Bank of India",3837688,2532011,6369699,312213.92,4055697,"(A) Public Sector Banks","2015-12-16"
"United Bank of India",4660772,75594,4736366,72639.34,2382135,"(B) Regional Rural Bank","2015-12-16"
"United Bank of India",3884996,2573853,6458849,319841.57,4059747,"(A) Public Sector Banks","2015-12-23"
"United Bank of India",4697672,76009,4773681,74545.35,2382201,"(B) Regional Rural Bank","2015-12-23"
"United Bank of India",3934520,2587462,6521982,347410.76,4062070,"(A) Public Sector Banks","2015-12-30"
"United Bank of India",4758000,76441,4834441,74640.09,2383362,"(B) Regional Rural Bank","2015-12-30"
"United Bank of India",3978565,2629956,6608521,352748.08,4071848,"(A) Public Sector Banks","2016-01-06"
"United Bank of India",4799102,73858,4872960,76373.09,2383473,"(B) Regional Rural Bank","2016-01-06"
"United Bank of India",4017563,2651482,6669045,354105.09,4091936,"(A) Public Sector Banks","2016-01-13"
"United Bank of India",4811903,77381,4889284,76264.13,2383607,"(B) Regional Rural Bank","2016-01-13"
"United Bank of India",4061894,2679224,6741118,364048.85,4097144,"(A) Public Sector Banks","2016-01-20"
"United Bank of India",4892647,77807,4970454,78014.84,2383821,"(B) Regional Rural Bank","2016-01-20"
"United Bank of India",4085187,2695174,6780361,364125.1,4099665,"(A) Public Sector Banks","2016-01-27"
"United Bank of India",4904671,78200,4982871,80566.48,2385653,"(B) Regional Rural Bank","2016-01-27"
"United Bank of India",4166053,2745047,6911100,376662.95,4075828,"(A) Public Sector Banks","2016-02-10"
"United Bank of India",4987841,79114,5066955,84565.01,2386813,"(B) Regional Rural Bank","2016-02-10"
"United Bank of India",4192847,2762680,6955527,380254.55,4103172,"(A) Public Sector Banks","2016-02-17"
"United Bank of India",5063210,79956,5143166,86077.17,2403367,"(B) Regional Rural Bank","2016-02-17"
"United Bank of India",4245162,2773985,7019147,382271.28,4415982,"(A) Public Sector Banks","2016-02-24"
"United Bank of India",5134266,80673,5214939,88753.25,2404610,"(B) Regional Rural Bank","2016-02-24"
"United Bank of India",4278478,2795126,7073604,398448.4,4584543,"(A) Public Sector Banks","2016-03-02"
"United Bank of India",5165316,81066,5246382,90000.66,2405269,"(B) Regional Rural Bank","2016-03-02"
"United Bank of India",4390911,2865301,7256212,404907.49,4685909,"(A) Public Sector Banks","2016-03-09"
"United Bank of India",5217425,81707,5299132,91588.18,2406072,"(B) Regional Rural Bank","2016-03-09"
"United Bank of India",4415120,2883493,7298613,412351.03,4697222,"(A) Public Sector Banks","2016-03-16"
"United Bank of India",5236263,82069,5318332,93074.13,2406467,"(B) Regional Rural Bank","2016-03-16"
"United Bank of India",4415120,2883493,7298613,412351.03,4697222,"(A) Public Sector Banks","2016-03-23"
"United Bank of India",5237523,82115,5319638,93074.15,2406467,"(B) Regional Rural Bank","2016-03-23"
"United Bank of India",4414177,2885263,7299440,424437.94,4697270,"(A) Public Sector Banks","2016-03-30"
"United Bank of India",5283167,82115,5365282,93074.1,2406467,"(B) Regional Rural Bank","2016-03-30"
"United Bank of India",4414694,2885263,7299957,429957.96,4697523,"(A) Public Sector Banks","2016-04-06"
"United Bank of India",5319590,78233,5397823,98268.93,2407973,"(B) Regional Rural Bank","2016-04-06"
"United Bank of India",4413983,2911416,7325399,430214.39,4698775,"(A) Public Sector Banks","2016-04-13"
"United Bank of India",5326201,78411,5404612,96637.56,2408314,"(B) Regional Rural Bank","2016-04-13"
"United Bank of India",4430837,2924978,7355815,429774.89,4701933,"(A) Public Sector Banks","2016-04-20"
"United Bank of India",5345228,78692,5423920,100416.82,2400236,"(B) Regional Rural Bank","2016-04-20"
"United Bank of India",4443809,2916878,7360687,429945.68,4705100,"(A) Public Sector Banks","2016-04-27"
"United Bank of India",5346131,78722,5424853,100416.87,2408855,"(B) Regional Rural Bank","2016-04-27"
"United Bank of India",4464436,2951603,7416039,436535.62,4706357,"(A) Public Sector Banks","2016-05-04"
"United Bank of India",5386503,79542,5466045,100236.4,2410037,"(B) Regional Rural Bank","2016-05-04"
"United Bank of India",4486899,2950865,7437764,437468.45,4722973,"(A) Public Sector Banks","2016-05-11"
"United Bank of India",5413438,80263,5493701,102127.41,2410595,"(B) Regional Rural Bank","2016-05-11"
"United Bank of India",4507812,2967379,7475191,439634.37,4723129,"(A) Public Sector Banks","2016-05-18"
"United Bank of India",5419725,80614,5500339,102087.46,2411196,"(B) Regional Rural Bank","2016-05-18"
"United Bank of India",4530911,2985065,7515976,438525.35,4728648,"(A) Public Sector Banks","2016-05-25"
"United Bank of India",5419725,80614,5500339,102087.46,2411196,"(B) Regional Rural Bank","2016-05-25"
"United Bank of India",4556584,3004130,7560714,444436.6,4756350,"(A) Public Sector Banks","2016-06-01"
"United Bank of India",5501287,81490,5582777,106545.16,2412739,"(B) Regional Rural Bank","2016-06-01"
"United Bank of India",1717646,1280083,2997729,67078.01,2856710,"(A) Public Sector Banks","2015-01-21"
"United Bank of India",2351153,43027,2394180,16564.02,1836000,"(B) Regional Rural Bank","2015-01-21"
"United Bank of India",2560333,1827047,4387380,168025.54,3384305,"(A) Public Sector Banks","2015-05-27"
"United Bank of India",3164410,57925,3222335,38020.01,2098765,"(B) Regional Rural Bank","2015-05-27"
"United Bank of India",3441790,2325844,5767634,264477.43,3957752,"(A) Public Sector Banks","2015-09-30"
"United Bank of India",4085907,70512,4156419,56856.34,2116232,"(B) Regional Rural Bank","2015-09-30"
"United Bank of India",4123952,2719954,6843906,374162.02,4093362,"(A) Public Sector Banks","2016-02-03"
"United Bank of India",4967286,78714,5046000,83090.01,2386490,"(B) Regional Rural Bank","2016-02-03"
"United Bank of India",4587728,3025184,7612912,451461.4,4788318,"(A) Public Sector Banks","2016-06-08"
"United Bank of India",5513247,81887,5595134,108210.47,2413520,"(B) Regional Rural Bank","2016-06-08"
