Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"UCO Bank",3085821,3215732,6301553,124354.62,6123351,"(A) Public Sector Banks","2015-11-04"
"UCO Bank",805820,25701,831521,12903.82,536839,"(B) Regional Rural Bank","2015-11-04"
"UCO Bank",3102050,3233495,6335545,125361.09,6164533,"(A) Public Sector Banks","2015-11-11"
"UCO Bank",806384,25705,832089,12909.71,536839,"(B) Regional Rural Bank","2015-11-11"
"UCO Bank",3120008,3251401,6371409,126005.26,6171693,"(A) Public Sector Banks","2015-11-18"
"UCO Bank",811518,26178,837696,13010.79,536839,"(B) Regional Rural Bank","2015-11-18"
"UCO Bank",3136282,3270900,6407182,125862.5,6223397,"(A) Public Sector Banks","2015-11-25"
"UCO Bank",812774,26183,838957,13015.25,536839,"(B) Regional Rural Bank","2015-11-25"
"UCO Bank",3155253,3291803,6447056,128928.67,6246675,"(A) Public Sector Banks","2015-12-02"
"UCO Bank",814227,26188,840415,13018.9,536839,"(B) Regional Rural Bank","2015-12-02"
"UCO Bank",3174244,3291803,6466047,130036.47,6289942,"(A) Public Sector Banks","2015-12-09"
"UCO Bank",827743,26715,854458,13147.77,536839,"(B) Regional Rural Bank","2015-12-09"
"UCO Bank",3193840,3320226,6514066,131600.29,6323602,"(A) Public Sector Banks","2015-12-16"
"UCO Bank",833286,26970,860256,13169.95,536839,"(B) Regional Rural Bank","2015-12-16"
"UCO Bank",3209012,3334093,6543105,132840.43,6353763,"(A) Public Sector Banks","2015-12-23"
"UCO Bank",833286,26970,860256,13169.95,536839,"(B) Regional Rural Bank","2015-12-23"
"UCO Bank",3224454,3348310,6572764,134604.09,6377525,"(A) Public Sector Banks","2015-12-30"
"UCO Bank",850718,27588,878306,13185.07,536839,"(B) Regional Rural Bank","2015-12-30"
"UCO Bank",3262766,3386158,6648924,139633.83,6450464,"(A) Public Sector Banks","2016-01-06"
"UCO Bank",864441,28489,892930,13541.7,536839,"(B) Regional Rural Bank","2016-01-06"
"UCO Bank",3309005,3415824,6724829,142498.67,6526248,"(A) Public Sector Banks","2016-01-13"
"UCO Bank",871802,29152,900954,13560.45,536839,"(B) Regional Rural Bank","2016-01-13"
"UCO Bank",3342614,3445988,6788602,144538.88,6590003,"(A) Public Sector Banks","2016-01-20"
"UCO Bank",880132,29759,909891,13576.03,536839,"(B) Regional Rural Bank","2016-01-20"
"UCO Bank",3342614,3445988,6788602,144538.88,6590003,"(A) Public Sector Banks","2016-01-27"
"UCO Bank",880132,29759,909891,13576.03,536839,"(B) Regional Rural Bank","2016-01-27"
"UCO Bank",3454090,3527110,6981200,152103.18,6741350,"(A) Public Sector Banks","2016-02-10"
"UCO Bank",897433,31054,928487,13858.44,536839,"(B) Regional Rural Bank","2016-02-10"
"UCO Bank",3482701,3547550,7030251,153854.36,6763560,"(A) Public Sector Banks","2016-02-17"
"UCO Bank",899060,31069,930129,13863.46,536839,"(B) Regional Rural Bank","2016-02-17"
"UCO Bank",3482704,3547556,7030260,153854.36,6763560,"(A) Public Sector Banks","2016-02-24"
"UCO Bank",900692,31365,932057,13868.46,536839,"(B) Regional Rural Bank","2016-02-24"
"UCO Bank",3537386,3597034,7134420,159014.42,6828391,"(A) Public Sector Banks","2016-03-02"
"UCO Bank",914017,31978,945995,14279.39,536839,"(B) Regional Rural Bank","2016-03-02"
"UCO Bank",3554367,3615073,7169440,160839.68,6828391,"(A) Public Sector Banks","2016-03-09"
"UCO Bank",914611,31980,946591,14286.67,536839,"(B) Regional Rural Bank","2016-03-09"
"UCO Bank",3554408,3616977,7171385,163279.86,6864271,"(A) Public Sector Banks","2016-03-16"
"UCO Bank",965828,31989,997817,17817.75,536839,"(B) Regional Rural Bank","2016-03-16"
"UCO Bank",3567427,3631764,7199191,165071.25,6864271,"(A) Public Sector Banks","2016-03-23"
"UCO Bank",965828,31989,997817,17817.75,536839,"(B) Regional Rural Bank","2016-03-23"
"UCO Bank",3575952,3644227,7220179,166889.4,6890760,"(A) Public Sector Banks","2016-03-30"
"UCO Bank",966069,32004,998073,9126.7,536839,"(B) Regional Rural Bank","2016-03-30"
"UCO Bank",3592101,3662511,7254612,170584.09,6907437,"(A) Public Sector Banks","2016-04-06"
"UCO Bank",966211,32012,998223,17832.84,536839,"(B) Regional Rural Bank","2016-04-06"
"UCO Bank",3592101,3662511,7254612,170584.09,6907437,"(A) Public Sector Banks","2016-04-13"
"UCO Bank",966211,32012,998223,17832.84,536839,"(B) Regional Rural Bank","2016-04-13"
"UCO Bank",3597531,3665828,7263359,170280.42,6916513,"(A) Public Sector Banks","2016-04-20"
"UCO Bank",1016018,35451,1051469,18761.75,536839,"(B) Regional Rural Bank","2016-04-20"
"UCO Bank",3602153,3683380,7285533,170293.99,6916513,"(A) Public Sector Banks","2016-04-27"
